dataset,backbone,metric,method,value,displayed,rank
Amazon-Movies,LightGCN,ndcg20,CausalEPP,0.0228866667,0.0229,5.0
Amazon-Movies,LightGCN,ndcg20,DDC,0.0215933333,0.0216,7.0
Amazon-Movies,LightGCN,ndcg20,DICE,0.0187266667,0.0187,8.0
Amazon-Movies,LightGCN,ndcg20,IPS,0.0217966667,0.0218,6.0
Amazon-Movies,LightGCN,ndcg20,PDA,0.0265266667,0.0265,3.0
Amazon-Movies,LightGCN,ndcg20,STFR,0.0394133333,0.0394,1.0
Amazon-Movies,LightGCN,ndcg20,TIDE,0.0281500000,0.0281,2.0
Amazon-Movies,LightGCN,ndcg20,base,0.0233733333,0.0234,4.0
Amazon-Movies,LightGCN,recall20,CausalEPP,0.0497300000,0.0497,5.0
Amazon-Movies,LightGCN,recall20,DDC,0.0467066667,0.0467,6.0
Amazon-Movies,LightGCN,recall20,DICE,0.0384933333,0.0385,8.0
Amazon-Movies,LightGCN,recall20,IPS,0.0451733333,0.0452,7.0
Amazon-Movies,LightGCN,recall20,PDA,0.0623100000,0.0623,3.0
Amazon-Movies,LightGCN,recall20,STFR,0.0808033333,0.0808,1.0
Amazon-Movies,LightGCN,recall20,TIDE,0.0660866667,0.0661,2.0
Amazon-Movies,LightGCN,recall20,base,0.0504166667,0.0504,4.0
Amazon-Movies,MF,ndcg20,CausalEPP,0.0215266667,0.0215,4.0
Amazon-Movies,MF,ndcg20,DDC,0.0194733333,0.0195,5.0
Amazon-Movies,MF,ndcg20,DICE,0.0176233333,0.0176,6.0
Amazon-Movies,MF,ndcg20,IPS,0.0161533333,0.0162,8.0
Amazon-Movies,MF,ndcg20,PDA,0.0312866667,0.0313,3.0
Amazon-Movies,MF,ndcg20,STFR,0.0407400000,0.0407,1.0
Amazon-Movies,MF,ndcg20,TIDE,0.0389266667,0.0389,2.0
Amazon-Movies,MF,ndcg20,base,0.0175433333,0.0175,7.0
Amazon-Movies,MF,recall20,CausalEPP,0.0438433333,0.0438,4.0
Amazon-Movies,MF,recall20,DDC,0.0393866667,0.0394,5.0
Amazon-Movies,MF,recall20,DICE,0.0353866667,0.0354,7.0
Amazon-Movies,MF,recall20,IPS,0.0337866667,0.0338,8.0
Amazon-Movies,MF,recall20,PDA,0.0652933333,0.0653,3.0
Amazon-Movies,MF,recall20,STFR,0.0837233333,0.0837,1.0
Amazon-Movies,MF,recall20,TIDE,0.0741166667,0.0741,2.0
Amazon-Movies,MF,recall20,base,0.0356200000,0.0356,6.0
Amazon-Movies,SimGCL,ndcg20,CausalEPP,0.0279133333,0.0279,4.5
Amazon-Movies,SimGCL,ndcg20,DDC,0.0245666667,0.0246,7.0
Amazon-Movies,SimGCL,ndcg20,DICE,0.0231033333,0.0231,8.0
Amazon-Movies,SimGCL,ndcg20,IPS,0.0250466667,0.0250,6.0
Amazon-Movies,SimGCL,ndcg20,PDA,0.0367633333,0.0368,1.0
Amazon-Movies,SimGCL,ndcg20,STFR,0.0366066667,0.0366,2.0
Amazon-Movies,SimGCL,ndcg20,TIDE,0.0284900000,0.0285,3.0
Amazon-Movies,SimGCL,ndcg20,base,0.0278833333,0.0279,4.5
Amazon-Movies,SimGCL,recall20,CausalEPP,0.0577466667,0.0577,4.0
Amazon-Movies,SimGCL,recall20,DDC,0.0510966667,0.0511,7.0
Amazon-Movies,SimGCL,recall20,DICE,0.0470100000,0.0470,8.0
Amazon-Movies,SimGCL,recall20,IPS,0.0517500000,0.0517,6.0
Amazon-Movies,SimGCL,recall20,PDA,0.0762133333,0.0762,2.0
Amazon-Movies,SimGCL,recall20,STFR,0.0773766667,0.0774,1.0
Amazon-Movies,SimGCL,recall20,TIDE,0.0591166667,0.0591,3.0
Amazon-Movies,SimGCL,recall20,base,0.0575633333,0.0576,5.0
Amazon-VG,LightGCN,ndcg20,CausalEPP,0.0291733333,0.0292,7.0
Amazon-VG,LightGCN,ndcg20,DDC,0.0301066667,0.0301,6.0
Amazon-VG,LightGCN,ndcg20,DICE,0.0278500000,0.0278,8.0
Amazon-VG,LightGCN,ndcg20,IPS,0.0306433333,0.0306,5.0
Amazon-VG,LightGCN,ndcg20,PDA,0.0368800000,0.0369,3.0
Amazon-VG,LightGCN,ndcg20,STFR,0.0620000000,0.0620,1.0
Amazon-VG,LightGCN,ndcg20,TIDE,0.0457433333,0.0457,2.0
Amazon-VG,LightGCN,ndcg20,base,0.0310533333,0.0311,4.0
Amazon-VG,LightGCN,recall20,CausalEPP,0.0663966667,0.0664,5.0
Amazon-VG,LightGCN,recall20,DDC,0.0647833333,0.0648,6.0
Amazon-VG,LightGCN,recall20,DICE,0.0593066667,0.0593,8.0
Amazon-VG,LightGCN,recall20,IPS,0.0634966667,0.0635,7.0
Amazon-VG,LightGCN,recall20,PDA,0.0816866667,0.0817,3.0
Amazon-VG,LightGCN,recall20,STFR,0.1216400000,0.1216,1.0
Amazon-VG,LightGCN,recall20,TIDE,0.0896066667,0.0896,2.0
Amazon-VG,LightGCN,recall20,base,0.0681533333,0.0682,4.0
Amazon-VG,MF,ndcg20,CausalEPP,0.0333566667,0.0334,4.0
Amazon-VG,MF,ndcg20,DDC,0.0259200000,0.0259,5.0
Amazon-VG,MF,ndcg20,DICE,0.0231000000,0.0231,8.0
Amazon-VG,MF,ndcg20,IPS,0.0245233333,0.0245,7.0
Amazon-VG,MF,ndcg20,PDA,0.0505200000,0.0505,2.0
Amazon-VG,MF,ndcg20,STFR,0.0537666667,0.0538,1.0
Amazon-VG,MF,ndcg20,TIDE,0.0422033333,0.0422,3.0
Amazon-VG,MF,ndcg20,base,0.0256100000,0.0256,6.0
Amazon-VG,MF,recall20,CausalEPP,0.0705766667,0.0706,4.0
Amazon-VG,MF,recall20,DDC,0.0541433333,0.0541,5.0
Amazon-VG,MF,recall20,DICE,0.0482600000,0.0483,8.0
Amazon-VG,MF,recall20,IPS,0.0519033333,0.0519,7.0
Amazon-VG,MF,recall20,PDA,0.1048033333,0.1048,2.0
Amazon-VG,MF,recall20,STFR,0.1102366667,0.1102,1.0
Amazon-VG,MF,recall20,TIDE,0.0775300000,0.0775,3.0
Amazon-VG,MF,recall20,base,0.0530333333,0.0530,6.0
Amazon-VG,SimGCL,ndcg20,CausalEPP,0.0361300000,0.0361,4.5
Amazon-VG,SimGCL,ndcg20,DDC,0.0341233333,0.0341,6.0
Amazon-VG,SimGCL,ndcg20,DICE,0.0314200000,0.0314,8.0
Amazon-VG,SimGCL,ndcg20,IPS,0.0317900000,0.0318,7.0
Amazon-VG,SimGCL,ndcg20,PDA,0.0504966667,0.0505,2.0
Amazon-VG,SimGCL,ndcg20,STFR,0.0538633333,0.0539,1.0
Amazon-VG,SimGCL,ndcg20,TIDE,0.0447700000,0.0448,3.0
Amazon-VG,SimGCL,ndcg20,base,0.0361100000,0.0361,4.5
Amazon-VG,SimGCL,recall20,CausalEPP,0.0749366667,0.0749,4.0
Amazon-VG,SimGCL,recall20,DDC,0.0701966667,0.0702,6.0
Amazon-VG,SimGCL,recall20,DICE,0.0625366667,0.0625,8.0
Amazon-VG,SimGCL,recall20,IPS,0.0678833333,0.0679,7.0
Amazon-VG,SimGCL,recall20,PDA,0.1051666667,0.1052,2.0
Amazon-VG,SimGCL,recall20,STFR,0.1133733333,0.1134,1.0
Amazon-VG,SimGCL,recall20,TIDE,0.0846833333,0.0847,3.0
Amazon-VG,SimGCL,recall20,base,0.0748066667,0.0748,5.0
Douban-movie,LightGCN,ndcg20,CausalEPP,0.0266833333,0.0267,5.0
Douban-movie,LightGCN,ndcg20,DDC,0.0204900000,0.0205,7.0
Douban-movie,LightGCN,ndcg20,DICE,0.0216966667,0.0217,6.0
Douban-movie,LightGCN,ndcg20,IPS,0.0267533333,0.0268,4.0
Douban-movie,LightGCN,ndcg20,PDA,0.0463533333,0.0464,3.0
Douban-movie,LightGCN,ndcg20,STFR,0.0756166667,0.0756,1.0
Douban-movie,LightGCN,ndcg20,TIDE,0.0599533333,0.0600,2.0
Douban-movie,LightGCN,ndcg20,base,0.0201200000,0.0201,8.0
Douban-movie,LightGCN,recall20,CausalEPP,0.0321333333,0.0321,5.0
Douban-movie,LightGCN,recall20,DDC,0.0223100000,0.0223,7.0
Douban-movie,LightGCN,recall20,DICE,0.0278333333,0.0278,6.0
Douban-movie,LightGCN,recall20,IPS,0.0331800000,0.0332,4.0
Douban-movie,LightGCN,recall20,PDA,0.0568700000,0.0569,3.0
Douban-movie,LightGCN,recall20,STFR,0.1200000000,0.1200,1.0
Douban-movie,LightGCN,recall20,TIDE,0.0786266667,0.0786,2.0
Douban-movie,LightGCN,recall20,base,0.0222100000,0.0222,8.0
Douban-movie,MF,ndcg20,CausalEPP,0.0256033333,0.0256,6.0
Douban-movie,MF,ndcg20,DDC,0.0260766667,0.0261,5.0
Douban-movie,MF,ndcg20,DICE,0.0189266667,0.0189,8.0
Douban-movie,MF,ndcg20,IPS,0.0244133333,0.0244,7.0
Douban-movie,MF,ndcg20,PDA,0.0726300000,0.0726,3.0
