backbone,method,n_cols,mean_rank
LightGCN,CausalEPP,6,5.333333333333333
LightGCN,DDC,6,6.5
LightGCN,DICE,6,7.333333333333333
LightGCN,IPS,6,5.5
LightGCN,PDA,6,3.0
LightGCN,STFR,6,1.0
LightGCN,TIDE,6,2.0
LightGCN,base,6,5.333333333333333
MF,CausalEPP,6,4.666666666666667
MF,DDC,6,4.833333333333333
MF,DICE,6,7.5
MF,IPS,6,7.333333333333333
MF,PDA,6,2.6666666666666665
MF,STFR,6,1.3333333333333333
MF,TIDE,6,2.0
MF,base,6,5.666666666666667
SimGCL,CausalEPP,4,4.25
SimGCL,DDC,4,6.5
SimGCL,DICE,4,8.0
SimGCL,IPS,4,6.5
SimGCL,PDA,4,1.75
SimGCL,STFR,4,1.25
SimGCL,TIDE,4,3.0
SimGCL,base,4,4.75
