dataset,backbone,method,n_seeds,recall20,ndcg20
Amazon-Movies,LightGCN,CausalEPP,3,0.0497300000,0.0228866667
Amazon-Movies,LightGCN,DDC,3,0.0467066667,0.0215933333
Amazon-Movies,LightGCN,DICE,3,0.0384933333,0.0187266667
Amazon-Movies,LightGCN,IPS,3,0.0451733333,0.0217966667
Amazon-Movies,LightGCN,PDA,3,0.0623100000,0.0265266667
Amazon-Movies,LightGCN,STFR,3,0.0808033333,0.0394133333
Amazon-Movies,LightGCN,TIDE,3,0.0660866667,0.0281500000
Amazon-Movies,LightGCN,base,3,0.0504166667,0.0233733333
Amazon-Movies,MF,CausalEPP,3,0.0438433333,0.0215266667
Amazon-Movies,MF,DDC,3,0.0393866667,0.0194733333
Amazon-Movies,MF,DICE,3,0.0353866667,0.0176233333
Amazon-Movies,MF,IPS,3,0.0337866667,0.0161533333
Amazon-Movies,MF,PDA,3,0.0652933333,0.0312866667
Amazon-Movies,MF,STFR,3,0.0837233333,0.0407400000
Amazon-Movies,MF,TIDE,3,0.0741166667,0.0389266667
Amazon-Movies,MF,base,3,0.0356200000,0.0175433333
Amazon-Movies,SimGCL,CausalEPP,3,0.0577466667,0.0279133333
Amazon-Movies,SimGCL,DDC,3,0.0510966667,0.0245666667
Amazon-Movies,SimGCL,DICE,3,0.0470100000,0.0231033333
Amazon-Movies,SimGCL,IPS,3,0.0517500000,0.0250466667
Amazon-Movies,SimGCL,PDA,3,0.0762133333,0.0367633333
Amazon-Movies,SimGCL,STFR,3,0.0773766667,0.0366066667
Amazon-Movies,SimGCL,TIDE,3,0.0591166667,0.0284900000
Amazon-Movies,SimGCL,base,3,0.0575633333,0.0278833333
Amazon-VG,LightGCN,CausalEPP,3,0.0663966667,0.0291733333
Amazon-VG,LightGCN,DDC,3,0.0647833333,0.0301066667
Amazon-VG,LightGCN,DICE,3,0.0593066667,0.0278500000
Amazon-VG,LightGCN,IPS,3,0.0634966667,0.0306433333
Amazon-VG,LightGCN,PDA,3,0.0816866667,0.0368800000
Amazon-VG,LightGCN,STFR,3,0.1216400000,0.0620000000
Amazon-VG,LightGCN,TIDE,3,0.0896066667,0.0457433333
Amazon-VG,LightGCN,base,3,0.0681533333,0.0310533333
Amazon-VG,MF,CausalEPP,3,0.0705766667,0.0333566667
Amazon-VG,MF,DDC,3,0.0541433333,0.0259200000
Amazon-VG,MF,DICE,3,0.0482600000,0.0231000000
Amazon-VG,MF,IPS,3,0.0519033333,0.0245233333
Amazon-VG,MF,PDA,3,0.1048033333,0.0505200000
Amazon-VG,MF,STFR,3,0.1102366667,0.0537666667
Amazon-VG,MF,TIDE,3,0.0775300000,0.0422033333
Amazon-VG,MF,base,3,0.0530333333,0.0256100000
Amazon-VG,SimGCL,CausalEPP,3,0.0749366667,0.0361300000
Amazon-VG,SimGCL,DDC,3,0.0701966667,0.0341233333
Amazon-VG,SimGCL,DICE,3,0.0625366667,0.0314200000
Amazon-VG,SimGCL,IPS,3,0.0678833333,0.0317900000
Amazon-VG,SimGCL,PDA,3,0.1051666667,0.0504966667
Amazon-VG,SimGCL,STFR,3,0.1133733333,0.0538633333
Amazon-VG,SimGCL,TIDE,3,0.0846833333,0.0447700000
Amazon-VG,SimGCL,base,3,0.0748066667,0.0361100000
Douban-movie,LightGCN,CausalEPP,3,0.0321333333,0.0266833333
Douban-movie,LightGCN,DDC,3,0.0223100000,0.0204900000
Douban-movie,LightGCN,DICE,3,0.0278333333,0.0216966667
Douban-movie,LightGCN,IPS,3,0.0331800000,0.0267533333
Douban-movie,LightGCN,PDA,3,0.0568700000,0.0463533333
Douban-movie,LightGCN,STFR,3,0.1200000000,0.0756166667
Douban-movie,LightGCN,TIDE,3,0.0786266667,0.0599533333
Douban-movie,LightGCN,base,3,0.0222100000,0.0201200000
Douban-movie,MF,CausalEPP,3,0.0317966667,0.0256033333
Douban-movie,MF,DDC,3,0.0329233333,0.0260766667
Douban-movie,MF,DICE,3,0.0239933333,0.0189266667
Douban-movie,MF,IPS,3,0.0297500000,0.0244133333
Douban-movie,MF,PDA,3,0.1051800000,0.0726300000
Douban-movie,MF,STFR,3,0.1089933333,0.0732966667
Douban-movie,MF,TIDE,3,0.1143733333,0.0775166667
Douban-movie,MF,base,3,0.0328200000,0.0261633333
