dataset,backbone,method,seed,recall20,ndcg20,log
Amazon-VG,MF,base,20,0.04886,0.02475,log/runs/v3_Amazon-VG_MF_base_s20_test_k20_train.log
Amazon-VG,MF,base,21,0.05589,0.02607,log/runs/v3_Amazon-VG_MF_base_s21_test_k20_train.log
Amazon-VG,MF,base,22,0.05435,0.02601,log/runs/v3_Amazon-VG_MF_base_s22_test_k20_train.log
Amazon-VG,MF,IPS,20,0.04832,0.02365,log/runs/v3_Amazon-VG_MF_final_IPS_IPS_l10_s20_test_k20_train.log
Amazon-VG,MF,IPS,21,0.05339,0.02508,log/runs/v3_Amazon-VG_MF_final_IPS_IPS_l10_s21_test_k20_train.log
Amazon-VG,MF,IPS,22,0.054,0.02484,log/runs/v3_Amazon-VG_MF_final_IPS_IPS_l10_s22_test_k20_train.log
Amazon-VG,MF,DICE,20,0.04768,0.02273,log/runs/v3_Amazon-VG_MF_final_DICE_DICE_a0.05_s20_test_k20_train.log
Amazon-VG,MF,DICE,21,0.04891,0.02404,log/runs/v3_Amazon-VG_MF_final_DICE_DICE_a0.05_s21_test_k20_train.log
Amazon-VG,MF,DICE,22,0.04819,0.02253,log/runs/v3_Amazon-VG_MF_final_DICE_DICE_a0.05_s22_test_k20_train.log
Amazon-VG,MF,DDC,20,0.05212,0.02601,log/runs/v3_Amazon-VG_MF_final_DDC_DDC_k0.3_s20_test_k20_train.log
Amazon-VG,MF,DDC,21,0.05428,0.02623,log/runs/v3_Amazon-VG_MF_final_DDC_DDC_k0.3_s21_test_k20_train.log
Amazon-VG,MF,DDC,22,0.05603,0.02552,log/runs/v3_Amazon-VG_MF_final_DDC_DDC_k0.3_s22_test_k20_train.log
Amazon-VG,MF,PDA,20,0.10717,0.0509,log/runs/v3_Amazon-VG_MF_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-VG,MF,PDA,21,0.09865,0.04721,log/runs/v3_Amazon-VG_MF_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-VG,MF,PDA,22,0.10859,0.05345,log/runs/v3_Amazon-VG_MF_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-VG,MF,TIDE,20,0.07332,0.04053,log/runs/v3_Amazon-VG_MF_final_TIDE_TIDE_qdefaultbdefault_tau3000000_s20_test_k20_train.log
