dataset,backbone,f,alpha,sweep_best_epoch,sweep_val_recall20,reeval_fullval_recall20,log,selection_metric,selected
Amazon-VG,MF,0.3,0.5,24,0.12343,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.3a0.5_train.log,0.12343,False
Amazon-VG,MF,0.3,0.75,29,0.12491,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.3a0.75_train.log,0.12491,False
Amazon-VG,MF,0.3,1.0,29,0.12183,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.3a1.0_train.log,0.12183,False
Amazon-VG,MF,0.5,0.5,27,0.12423,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.5a0.5_train.log,0.12423,False
Amazon-VG,MF,0.5,0.75,29,0.12462,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.5a0.75_train.log,0.12462,False
Amazon-VG,MF,0.5,1.0,29,0.12574,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.5a1.0_train.log,0.12574,False
Amazon-VG,MF,0.7,0.5,27,0.11918,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.7a0.5_train.log,0.11918,False
Amazon-VG,MF,0.7,0.75,24,0.13006,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.7a0.75_train.log,0.13006,True
Amazon-VG,MF,0.7,1.0,24,0.12739,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.7a1.0_train.log,0.12739,False
Amazon-VG,MF,0.9,0.5,29,0.12532,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.9a0.5_train.log,0.12532,False
Amazon-VG,MF,0.9,0.75,24,0.12348,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.9a0.75_train.log,0.12348,False
Amazon-VG,MF,0.9,1.0,24,0.12787,,log/runs/v3nob_sweep_Amazon-VG_MF_SFDmmNoB_f0.9a1.0_train.log,0.12787,False
Amazon-VG,LightGCN,0.3,0.5,27,0.13644,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.3a0.5_train.log,0.13644,False
Amazon-VG,LightGCN,0.3,0.75,24,0.14242,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.3a0.75_train.log,0.14242,False
Amazon-VG,LightGCN,0.3,1.0,29,0.15018,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.3a1.0_train.log,0.15018,False
Amazon-VG,LightGCN,0.5,0.5,27,0.13522,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.5a0.5_train.log,0.13522,False
Amazon-VG,LightGCN,0.5,0.75,29,0.14975,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.5a0.75_train.log,0.14975,False
Amazon-VG,LightGCN,0.5,1.0,29,0.15011,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.5a1.0_train.log,0.15011,False
Amazon-VG,LightGCN,0.7,0.5,29,0.14275,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.7a0.5_train.log,0.14275,False
Amazon-VG,LightGCN,0.7,0.75,29,0.15597,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.7a0.75_train.log,0.15597,False
Amazon-VG,LightGCN,0.7,1.0,29,0.15867,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.7a1.0_train.log,0.15867,True
Amazon-VG,LightGCN,0.9,0.5,21,0.14834,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.9a0.5_train.log,0.14834,False
Amazon-VG,LightGCN,0.9,0.75,29,0.15145,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.9a0.75_train.log,0.15145,False
Amazon-VG,LightGCN,0.9,1.0,27,0.15681,,log/runs/v3nob_sweep_Amazon-VG_LightGCN_SFDmmNoB_f0.9a1.0_train.log,0.15681,False
Amazon-VG,SimGCL,0.3,0.5,6,0.12783,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.3a0.5_train.log,0.12783,False
Amazon-VG,SimGCL,0.3,0.75,6,0.12902,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.3a0.75_train.log,0.12902,False
Amazon-VG,SimGCL,0.3,1.0,3,0.1298,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.3a1.0_train.log,0.1298,False
Amazon-VG,SimGCL,0.5,0.5,6,0.1283,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.5a0.5_train.log,0.1283,False
Amazon-VG,SimGCL,0.5,0.75,6,0.13052,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.5a0.75_train.log,0.13052,False
Amazon-VG,SimGCL,0.5,1.0,6,0.13072,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.5a1.0_train.log,0.13072,False
Amazon-VG,SimGCL,0.7,0.5,9,0.13151,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.5_train.log,0.13151,False
Amazon-VG,SimGCL,0.7,0.75,6,0.13328,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.7a0.75_train.log,0.13328,True
Amazon-VG,SimGCL,0.7,1.0,9,0.1312,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.7a1.0_train.log,0.1312,False
Amazon-VG,SimGCL,0.9,0.5,6,0.12989,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.9a0.5_train.log,0.12989,False
Amazon-VG,SimGCL,0.9,0.75,9,0.13063,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.9a0.75_train.log,0.13063,False
Amazon-VG,SimGCL,0.9,1.0,9,0.12978,,log/runs/v3nob_sweep_Amazon-VG_SimGCL_SFDmmNoB_f0.9a1.0_train.log,0.12978,False
Amazon-Movies,MF,0.3,0.5,29,0.12979,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.3a0.5_train.log,0.12979,True
Amazon-Movies,MF,0.3,0.75,15,0.12506,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.3a0.75_train.log,0.12506,False
Amazon-Movies,MF,0.3,1.0,3,0.1192,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.3a1.0_train.log,0.1192,False
Amazon-Movies,MF,0.5,0.5,12,0.12741,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.5a0.5_train.log,0.12741,False
Amazon-Movies,MF,0.5,0.75,15,0.12207,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.5a0.75_train.log,0.12207,False
Amazon-Movies,MF,0.5,1.0,6,0.11621,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.5a1.0_train.log,0.11621,False
Amazon-Movies,MF,0.7,0.5,12,0.12789,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.7a0.5_train.log,0.12789,False
Amazon-Movies,MF,0.7,0.75,6,0.12078,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.7a0.75_train.log,0.12078,False
Amazon-Movies,MF,0.7,1.0,3,0.11321,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.7a1.0_train.log,0.11321,False
Amazon-Movies,MF,0.9,0.5,6,0.12636,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.9a0.5_train.log,0.12636,False
Amazon-Movies,MF,0.9,0.75,9,0.11959,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.9a0.75_train.log,0.11959,False
Amazon-Movies,MF,0.9,1.0,6,0.11146,,log/runs/v3nob_sweep_Amazon-Movies_MF_SFDmmNoB_f0.9a1.0_train.log,0.11146,False
Amazon-Movies,LightGCN,0.3,0.5,29,0.12952,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.3a0.5_train.log,0.12952,True
Amazon-Movies,LightGCN,0.3,0.75,18,0.12947,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.3a0.75_train.log,0.12947,False
Amazon-Movies,LightGCN,0.3,1.0,29,0.12718,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.3a1.0_train.log,0.12718,False
Amazon-Movies,LightGCN,0.5,0.5,21,0.12867,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.5a0.5_train.log,0.12867,False
Amazon-Movies,LightGCN,0.5,0.75,18,0.12675,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.5a0.75_train.log,0.12675,False
Amazon-Movies,LightGCN,0.5,1.0,21,0.12018,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.5a1.0_train.log,0.12018,False
Amazon-Movies,LightGCN,0.7,0.5,24,0.12703,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.7a0.5_train.log,0.12703,False
Amazon-Movies,LightGCN,0.7,0.75,29,0.12378,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.7a0.75_train.log,0.12378,False
Amazon-Movies,LightGCN,0.7,1.0,27,0.11532,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.7a1.0_train.log,0.11532,False
Amazon-Movies,LightGCN,0.9,0.5,15,0.12636,,log/runs/v3nob_sweep_Amazon-Movies_LightGCN_SFDmmNoB_f0.9a0.5_train.log,0.12636,False
