dataset,backbone,arm,N,k,seed,recall,precision,ndcg,arp,aplt,val_recall20,best_epoch,tag
Amazon-VG,MF,recent,1,20,20,0.02015,0.00188,0.00962,0.54262,0.35722,0.02785,90,v3nobREC_Amazon-VG_MF_recentN1_s20
Amazon-VG,MF,recent,1,20,21,0.02059,0.00166,0.00945,0.54307,0.36164,0.03153,24,v3nobREC_Amazon-VG_MF_recentN1_s21
Amazon-VG,MF,recent,1,20,22,0.02137,0.00188,0.01095,0.54562,0.35477,0.03442,30,v3nobREC_Amazon-VG_MF_recentN1_s22
Amazon-VG,MF,recent,2,20,20,0.03298,0.00305,0.01628,0.59987,0.23536,0.04479,21,v3nobREC_Amazon-VG_MF_recentN2_s20
Amazon-VG,MF,recent,2,20,21,0.03557,0.00344,0.01779,0.59835,0.23873,0.04948,24,v3nobREC_Amazon-VG_MF_recentN2_s21
Amazon-VG,MF,recent,2,20,22,0.03077,0.00284,0.0141,0.58462,0.26659,0.04044,39,v3nobREC_Amazon-VG_MF_recentN2_s22
Amazon-VG,MF,recent,3,20,20,0.03649,0.00339,0.01759,0.60481,0.22115,0.05002,33,v3nobREC_Amazon-VG_MF_recentN3_s20
Amazon-VG,MF,recent,3,20,21,0.042,0.0038,0.02023,0.6305,0.16804,0.05645,12,v3nobREC_Amazon-VG_MF_recentN3_s21
Amazon-VG,MF,recent,3,20,22,0.0349,0.00329,0.01623,0.6244,0.1835,0.0477,15,v3nobREC_Amazon-VG_MF_recentN3_s22
Amazon-VG,MF,recent,6,20,20,0.04357,0.00413,0.01947,0.6303,0.16644,0.07269,39,v3nobREC_Amazon-VG_MF_recentN6_s20
Amazon-VG,MF,recent,6,20,21,0.05298,0.00489,0.02498,0.65382,0.11344,0.06784,18,v3nobREC_Amazon-VG_MF_recentN6_s21
Amazon-VG,MF,recent,6,20,22,0.04873,0.0047,0.02248,0.63864,0.15401,0.0665,30,v3nobREC_Amazon-VG_MF_recentN6_s22
Amazon-VG,MF,recent,12,20,20,0.0487,0.00513,0.02471,0.68876,0.08732,0.07008,18,v3nobREC_Amazon-VG_MF_recentN12_s20
Amazon-VG,MF,recent,12,20,21,0.06013,0.00573,0.02831,0.68515,0.08018,0.07614,18,v3nobREC_Amazon-VG_MF_recentN12_s21
Amazon-VG,MF,recent,12,20,22,0.05473,0.00583,0.02574,0.701,0.0691,0.0738,12,v3nobREC_Amazon-VG_MF_recentN12_s22
Amazon-VG,MF,recent,24,20,20,0.05364,0.00579,0.0252,0.67667,0.10714,0.06922,36,v3nobREC_Amazon-VG_MF_recentN24_s20
Amazon-VG,MF,recent,24,20,21,0.06002,0.00626,0.02802,0.71846,0.06444,0.06992,15,v3nobREC_Amazon-VG_MF_recentN24_s21
Amazon-VG,MF,recent,24,20,22,0.05391,0.00577,0.02483,0.65641,0.1384,0.07234,63,v3nobREC_Amazon-VG_MF_recentN24_s22
Amazon-VG,MF,recent+F,1,20,20,0.0814,0.00642,0.0378,0.69385,0.0,0.08932,15,v3nobREC_Amazon-VG_MF_recentFN1_s20
Amazon-VG,MF,recent+F,1,20,21,0.08004,0.00644,0.03679,0.69959,0.00274,0.0918,27,v3nobREC_Amazon-VG_MF_recentFN1_s21
Amazon-VG,MF,recent+F,1,20,22,0.07849,0.00624,0.03667,0.69803,0.00294,0.08961,27,v3nobREC_Amazon-VG_MF_recentFN1_s22
Amazon-VG,MF,recent+F,2,20,20,0.0823,0.00675,0.03913,0.70392,0.00102,0.09273,15,v3nobREC_Amazon-VG_MF_recentFN2_s20
Amazon-VG,MF,recent+F,2,20,21,0.08257,0.00701,0.0373,0.70583,0.01824,0.09804,42,v3nobREC_Amazon-VG_MF_recentFN2_s21
Amazon-VG,MF,recent+F,2,20,22,0.07936,0.00661,0.03662,0.70643,0.0116,0.09093,30,v3nobREC_Amazon-VG_MF_recentFN2_s22
Amazon-VG,MF,recent+F,3,20,20,0.083,0.00661,0.04013,0.7009,0.0,0.09694,9,v3nobREC_Amazon-VG_MF_recentFN3_s20
Amazon-VG,MF,recent+F,3,20,21,0.08659,0.0073,0.04106,0.71155,0.00663,0.10144,21,v3nobREC_Amazon-VG_MF_recentFN3_s21
Amazon-VG,MF,recent+F,3,20,22,0.08004,0.00654,0.03701,0.70683,0.00157,0.09222,15,v3nobREC_Amazon-VG_MF_recentFN3_s22
Amazon-VG,MF,recent+F,6,20,20,0.09602,0.00808,0.04479,0.7048,0.03804,0.11699,129,v3nobREC_Amazon-VG_MF_recentFN6_s20
