dataset,backbone,arm,setting,k,seed,recall,ndcg,nalrp,log
Amazon-VG,MF,base (참조),-,20,20,0.04886,0.02475,0.69878,log/runs/v3_Amazon-VG_MF_base_s20_test_k20_train.log
Amazon-VG,MF,base (참조),-,20,21,0.05589,0.02607,0.73226,log/runs/v3_Amazon-VG_MF_base_s21_test_k20_train.log
Amazon-VG,MF,base (참조),-,20,22,0.05435,0.02601,0.67133,log/runs/v3_Amazon-VG_MF_base_s22_test_k20_train.log
Amazon-VG,MF,swap DNS,M=5,20,20,0.10915,0.05309,0.6786,log/runs/tuned_v3ax2N_mf_swap_dns_5_s20_test_k20.log
Amazon-VG,MF,swap DNS,M=5,20,21,0.11395,0.05474,0.68474,log/runs/tuned_v3ax2N_mf_swap_dns_5_s21_test_k20.log
Amazon-VG,MF,swap DNS,M=5,20,22,0.11538,0.05657,0.68024,log/runs/tuned_v3ax2N_mf_swap_dns_5_s22_test_k20.log
Amazon-VG,MF,swap AUC-NS,gamma=0.006,20,20,0.10439,0.05046,0.67606,log/runs/tuned_v3ax2N_mf_swap_aucns_0.006_s20_test_k20.log
Amazon-VG,MF,swap AUC-NS,gamma=0.006,20,21,0.10954,0.05096,0.65774,log/runs/tuned_v3ax2N_mf_swap_aucns_0.006_s21_test_k20.log
Amazon-VG,MF,swap AUC-NS,gamma=0.006,20,22,0.09895,0.04834,0.6628,log/runs/tuned_v3ax2N_mf_swap_aucns_0.006_s22_test_k20.log
Amazon-VG,MF,swap FairNeg,default,20,20,0.10447,0.04982,0.71284,log/runs/tuned_v3ax2N_mf_swap_fairneg_default_s20_test_k20.log
Amazon-VG,MF,swap FairNeg,default,20,21,0.10594,0.05114,0.7234,log/runs/tuned_v3ax2N_mf_swap_fairneg_default_s21_test_k20.log
Amazon-VG,MF,swap FairNeg,default,20,22,0.103,0.04961,0.72025,log/runs/tuned_v3ax2N_mf_swap_fairneg_default_s22_test_k20.log
Amazon-VG,MF,SFD-noB champion,f0.7a0.75,20,20,0.11053,0.05513,0.60183,log/runs/v3nob_final_Amazon-VG_MF_SFDmmNoB_f0.7a0.75_s20_test_k20.log
Amazon-VG,MF,SFD-noB champion,f0.7a0.75,20,21,0.10684,0.0507,0.61039,log/runs/v3nob_final_Amazon-VG_MF_SFDmmNoB_f0.7a0.75_s21_test_k20.log
Amazon-VG,MF,SFD-noB champion,f0.7a0.75,20,22,0.11334,0.05547,0.57252,log/runs/v3nob_final_Amazon-VG_MF_SFDmmNoB_f0.7a0.75_s22_test_k20.log
Amazon-VG,LightGCN,base (참조),-,20,20,0.06852,0.03108,0.77187,log/runs/v3_Amazon-VG_LightGCN_base_s20_test_k20_train.log
Amazon-VG,LightGCN,base (참조),-,20,21,0.06776,0.0311,0.77254,log/runs/v3_Amazon-VG_LightGCN_base_s21_test_k20_train.log
Amazon-VG,LightGCN,base (참조),-,20,22,0.06818,0.03098,0.77224,log/runs/v3_Amazon-VG_LightGCN_base_s22_test_k20_train.log
Amazon-VG,LightGCN,swap DNS,M=10,20,20,0.12121,0.06047,0.6886,log/runs/tuned_v3ax2N_lightgcn_swap_dns_10_s20_test_k20.log
Amazon-VG,LightGCN,swap DNS,M=10,20,21,0.12011,0.05985,0.70217,log/runs/tuned_v3ax2N_lightgcn_swap_dns_10_s21_test_k20.log
