dataset,backbone,method,seed,n_users,calib20
Amazon-VG,MF,CausalEPP,20,2555,0.2549535163919882
Amazon-VG,MF,CausalEPP,21,2555,0.2451466128833398
Amazon-VG,MF,CausalEPP,22,2555,0.2663986658383832
Amazon-VG,MF,DDC,20,2555,0.2384122097853193
Amazon-VG,MF,DDC,21,2555,0.2603828620607433
Amazon-VG,MF,DDC,22,2555,0.2229313389100512
Amazon-VG,MF,DICE,20,2555,0.1588669367537014
Amazon-VG,MF,DICE,21,2555,0.1695869606472229
Amazon-VG,MF,DICE,22,2555,0.1616834780405599
Amazon-VG,MF,IPS,20,2555,0.2283652870649063
Amazon-VG,MF,IPS,21,2555,0.2266003578821815
Amazon-VG,MF,IPS,22,2555,0.2026478851354023
Amazon-VG,MF,PDA,20,2555,0.2183467002168849
Amazon-VG,MF,PDA,21,2555,0.2220183585732411
Amazon-VG,MF,PDA,22,2555,0.2114345503757468
Amazon-VG,MF,STFR,20,2555,0.1656103988201103
Amazon-VG,MF,STFR,21,2555,0.168821986451524
Amazon-VG,MF,STFR,22,2555,0.1560355644348551
Amazon-VG,MF,TIDE,20,2555,0.1946388158242051
Amazon-VG,MF,TIDE,21,2555,0.215896665930722
Amazon-VG,MF,TIDE,22,2555,0.2116283477100667
Amazon-VG,MF,base,20,2555,0.2334336233068088
Amazon-VG,MF,base,21,2555,0.2565444661012898
Amazon-VG,MF,base,22,2555,0.2146286080952913
Amazon-VG,LightGCN,CausalEPP,20,2555,0.3027289270553086
Amazon-VG,LightGCN,CausalEPP,21,2555,0.299825916442422
Amazon-VG,LightGCN,CausalEPP,22,2555,0.3004315621923573
Amazon-VG,LightGCN,DDC,20,2555,0.2784968744034182
Amazon-VG,LightGCN,DDC,21,2555,0.283179603011976
Amazon-VG,LightGCN,DDC,22,2555,0.289331137028544
Amazon-VG,LightGCN,DICE,20,2555,0.1733236812427544
Amazon-VG,LightGCN,DICE,21,2555,0.2050423305333762
Amazon-VG,LightGCN,DICE,22,2555,0.2034613214301607
Amazon-VG,LightGCN,IPS,20,2555,0.2242540498189093
Amazon-VG,LightGCN,IPS,21,2555,0.2150402207394603
Amazon-VG,LightGCN,IPS,22,2555,0.2635560389300672
Amazon-VG,LightGCN,PDA,20,2555,0.330778002624453
Amazon-VG,LightGCN,PDA,21,2555,0.3293751137288099
Amazon-VG,LightGCN,PDA,22,2555,0.3294943704076928
Amazon-VG,LightGCN,STFR,20,2555,0.1722320172004678
Amazon-VG,LightGCN,STFR,21,2555,0.1723417495856165
Amazon-VG,LightGCN,STFR,22,2555,0.186726404289357
Amazon-VG,LightGCN,TIDE,20,2555,0.2491397845079582
Amazon-VG,LightGCN,TIDE,21,2555,0.2769298830839097
Amazon-VG,LightGCN,TIDE,22,2555,0.2745730041575352
Amazon-VG,LightGCN,base,20,2555,0.2861441867387541
Amazon-VG,LightGCN,base,21,2555,0.2858430696455213
Amazon-VG,LightGCN,base,22,2555,0.2858834419229774
Amazon-VG,SimGCL,CausalEPP,20,2555,0.2390372219892531
Amazon-VG,SimGCL,CausalEPP,21,2555,0.240391793534876
Amazon-VG,SimGCL,CausalEPP,22,2555,0.2377756126741437
Amazon-VG,SimGCL,DDC,20,2555,0.2567129804916346
Amazon-VG,SimGCL,DDC,21,2555,0.2577901428891191
Amazon-VG,SimGCL,DDC,22,2555,0.255496754457318
Amazon-VG,SimGCL,DICE,20,2555,0.1739762118994436
Amazon-VG,SimGCL,DICE,21,2555,0.1730864565800985
Amazon-VG,SimGCL,DICE,22,2555,0.1748480463851373
Amazon-VG,SimGCL,IPS,20,2555,0.2146340395107761
Amazon-VG,SimGCL,IPS,21,2555,0.2332741426305331
Amazon-VG,SimGCL,IPS,22,2555,0.2441587846128155
Amazon-VG,SimGCL,PDA,20,2555,0.2562029777364942
Amazon-VG,SimGCL,PDA,21,2555,0.256809017605804
Amazon-VG,SimGCL,PDA,22,2555,0.2557294034803751
Amazon-VG,SimGCL,STFR,20,2555,0.2146836958590288
Amazon-VG,SimGCL,STFR,21,2555,0.2146477503031254
Amazon-VG,SimGCL,STFR,22,2555,0.2130926130743415
Amazon-VG,SimGCL,TIDE,20,2555,0.2325479603944386
Amazon-VG,SimGCL,TIDE,21,2555,0.2361115696958581
Amazon-VG,SimGCL,TIDE,22,2555,0.2336792335413456
Amazon-VG,SimGCL,base,20,2555,0.2392286999535049
Amazon-VG,SimGCL,base,21,2555,0.2396533337208632
Amazon-VG,SimGCL,base,22,2555,0.2372124172913089
Amazon-Movies,MF,CausalEPP,20,21342,0.1984111962429419
Amazon-Movies,MF,CausalEPP,21,21342,0.2007721003271174
Amazon-Movies,MF,CausalEPP,22,21342,0.1996159568544162
Amazon-Movies,MF,DDC,20,21342,0.2526664434165204
Amazon-Movies,MF,DDC,21,21342,0.2495264418737974
Amazon-Movies,MF,DDC,22,21342,0.2474184102955705
