dataset,backbone,method,k,n_seeds,catalog_size,coverage,coverage_sd,gini,gini_sd,nalrp,recall
Amazon-Movies,LightGCN,CausalEPP,20,3,54774,0.0746582928640109,0.0003807278957076,0.9932092054491806,6.234743556467338e-05,0.8344292737042954,0.0497323063713446
Amazon-Movies,LightGCN,DDC,20,3,54774,0.1138070374021738,0.009044468998782,0.9903567229440216,0.0018279027419325,0.8265274279729216,0.0467075568031843
Amazon-Movies,LightGCN,DICE,20,3,54774,0.1972894682391889,0.0003496977373342,0.9588325408629595,5.297921251445194e-05,0.6650485945008785,0.0384942512218414
Amazon-Movies,LightGCN,IPS,20,3,54774,0.1119144119472742,0.0019127032320018,0.9889003927835937,0.0002042531422529,0.799455038826706,0.0451718427356843
Amazon-Movies,LightGCN,PDA,20,3,54774,0.0099012913669502,0.0004901846512482,0.9990926137773216,1.6192978806188292e-05,0.8804931379497144,0.0623120356262774
Amazon-Movies,LightGCN,STFR,20,3,54774,0.0753459670646657,0.0004429556696018,0.9905162139220264,0.0001032769799372,0.7472557930972522,0.08080403499198
Amazon-Movies,LightGCN,TIDE,20,3,54774,0.0269166636238604,0.0024572162561773,0.9983915289023684,0.0003529857911436,0.7876636797013358,0.0660887245108134
Amazon-Movies,LightGCN,base,20,3,54774,0.1040944000194739,0.0008402553812194,0.9910571889924348,0.0001274891453459,0.8221455508793873,0.0504148919449999
Amazon-Movies,MF,CausalEPP,20,3,54774,0.275982522121201,0.004658662490712,0.9344208965405392,0.0021546089641152,0.6814007972918583,0.0438455449211493
Amazon-Movies,MF,DDC,20,3,54774,0.301353440196687,0.0066857646757099,0.9640949402765436,0.0011720101501533,0.7527624916558797,0.0393863332630803
Amazon-Movies,MF,DICE,20,3,54774,0.2435036087681503,0.0012516552873075,0.9452830029954457,0.0004785918014348,0.6550721610243856,0.035384842978077
Amazon-Movies,MF,IPS,20,3,54774,0.2285269166636238,0.0020403235136815,0.981077906462104,0.0002901185426894,0.8047169002953586,0.0337875270977442
Amazon-Movies,MF,PDA,20,3,54774,0.017009286644515,0.0010762074738576,0.9993490539329556,6.030488992280435e-05,0.7557495134360219,0.0652902970770988
Amazon-Movies,MF,STFR,20,3,54774,0.1908569759374886,0.0014097620268078,0.9796115373224016,0.000105708593267,0.7175473874378427,0.0837222649052857
Amazon-Movies,MF,TIDE,20,3,54774,0.2609023746059566,0.0188730392290242,0.9708775804147124,0.0041582965947857,0.7254039685223245,0.0741147206544113
Amazon-Movies,MF,base,20,3,54774,0.2501612687284721,0.001360130966731,0.9764824367304384,0.0004884941492511,0.7890713239953625,0.0356202008192986
Amazon-Movies,SimGCL,CausalEPP,20,3,54774,0.1051411253514441,0.0008209488865489,0.983963617802459,0.0001559166986037,0.7700478581024836,0.0577452946826833
Amazon-Movies,SimGCL,DDC,20,3,54774,0.10881683523813,0.0001138513828572,0.9872341635441988,2.3447616522105724e-05,0.8005673113344787,0.05109620696851
Amazon-Movies,SimGCL,DICE,20,3,54774,0.1518360292596244,0.0007592639865288,0.9652211059186824,0.0002694301873841,0.6720502655078419,0.0470123737365328
Amazon-Movies,SimGCL,IPS,20,3,54774,0.1816920436703545,0.0019009918021316,0.9755044478230288,0.0003461021323586,0.7575011969617199,0.0517488514733073
