dataset,backbone,method,seed,k,catalog_size,n_users,coverage,gini,nalrp,recall
Amazon-Movies,LightGCN,CausalEPP,20,20,54774,21342,0.0746887209259867,0.9931343296334556,0.833789184291366,0.0491423706224812
Amazon-Movies,LightGCN,CausalEPP,21,20,54774,21342,0.074177529484792,0.9932869672116068,0.8345430525926625,0.0503942404797742
Amazon-Movies,LightGCN,CausalEPP,22,20,54774,21342,0.0751086281812538,0.9932063195024796,0.8349555842288578,0.0496603080117785
Amazon-Movies,LightGCN,DDC,20,20,54774,21342,0.119162376309928,0.9890741667013035,0.8152972171525239,0.0472393810524865
Amazon-Movies,LightGCN,DDC,21,20,54774,21342,0.1010698506590718,0.9929417422426328,0.8474250715608719,0.0446306292787737
Amazon-Movies,LightGCN,DDC,22,20,54774,21342,0.1211888852375214,0.9890542598881288,0.8168599952053689,0.0482526600782926
Amazon-Movies,LightGCN,DICE,20,20,54774,21342,0.1974294373242779,0.9589069919518708,0.6648215145469304,0.0404643924390822
Amazon-Movies,LightGCN,DICE,21,20,54774,21342,0.19680870485997,0.9588025935022008,0.6674528432237342,0.0387413392650823
Amazon-Movies,LightGCN,DICE,22,20,54774,21342,0.1976302625333187,0.9587880371348072,0.662871425731971,0.0362770219613597
Amazon-Movies,LightGCN,IPS,20,20,54774,21342,0.11315587687589,0.9886260513408678,0.7994690962519799,0.0463682187083902
Amazon-Movies,LightGCN,IPS,21,20,54774,21342,0.1092124000438164,0.9891158680308964,0.798939666069992,0.0426883739879678
Amazon-Movies,LightGCN,IPS,22,20,54774,21342,0.1133749589221163,0.9889592589790166,0.7999563541581464,0.0464589355106948
Amazon-Movies,LightGCN,PDA,20,20,54774,21342,0.0103516266841932,0.999079467634118,0.8811951776625311,0.0622800130743796
Amazon-Movies,LightGCN,PDA,21,20,54774,21342,0.0101325446379669,0.999082947913211,0.8802304526632381,0.0625535958733632
Amazon-Movies,LightGCN,PDA,22,20,54774,21342,0.0092197027786906,0.999115425784636,0.880053783523374,0.0621024979310895
Amazon-Movies,LightGCN,STFR,20,20,54774,21342,0.0757293606455617,0.9903772485837368,0.7456136116131795,0.0805127658219515
Amazon-Movies,LightGCN,STFR,21,20,54774,21342,0.0747252346003578,0.9906246282998796,0.744964071243219,0.0814680137941329
Amazon-Movies,LightGCN,STFR,22,20,54774,21342,0.0755833059480775,0.9905467648824626,0.7511896964353579,0.0804313253598557
Amazon-Movies,LightGCN,TIDE,20,20,54774,21342,0.0234417789462153,0.9988906824251076,0.801159559803239,0.0686334440306059
Amazon-Movies,LightGCN,TIDE,21,20,54774,21342,0.0286814912184613,0.9981362273111491,0.7818448852651316,0.0647821267035636
Amazon-Movies,LightGCN,TIDE,22,20,54774,21342,0.0286267207069047,0.9981476769708488,0.7799865940356366,0.0648506027982707
Amazon-Movies,LightGCN,base,20,20,54774,21342,0.1052506663745572,0.9908776734354452,0.8198539850789676,0.0498859660636415
Amazon-Movies,LightGCN,base,21,20,54774,21342,0.1032789279585204,0.9911614673380872,0.8231630005262534,0.0505806502495931
Amazon-Movies,LightGCN,base,22,20,54774,21342,0.1037536057253441,0.9911324262037716,0.8234196670329409,0.050778059521765
Amazon-Movies,MF,CausalEPP,20,20,54774,21342,0.2760616350823383,0.9338158446366184,0.6795471791195246,0.0432816292680673
Amazon-Movies,MF,CausalEPP,21,20,54774,21342,0.2702377040201555,0.937309721745784,0.6846693009029913,0.0436013153285954
Amazon-Movies,MF,CausalEPP,22,20,54774,21342,0.2816482272611093,0.9321371232392148,0.6799859118530592,0.0446536901667854
Amazon-Movies,MF,DDC,20,20,54774,21342,0.2919633402709314,0.9656698490022524,0.7577925834219886,0.0411065238111599
Amazon-Movies,MF,DDC,21,20,54774,21342,0.3050900062073246,0.9637548767577604,0.752192993236176,0.0395374996794008
Amazon-Movies,MF,DDC,22,20,54774,21342,0.3070069741118049,0.9628600950696182,0.7483018983094746,0.0375149762986801
Amazon-Movies,MF,DICE,20,20,54774,21342,0.24279767773031,0.9451188659708868,0.6567397726374896,0.0355354929714535
Amazon-Movies,MF,DICE,21,20,54774,21342,0.245262350750356,0.9459337273319964,0.6572120799551859,0.0357623355347629
Amazon-Movies,MF,DICE,22,20,54774,21342,0.242450797823785,0.9447964156834536,0.6512646304804814,0.0348567004280145
Amazon-Movies,MF,IPS,20,20,54774,21342,0.230200460072297,0.980864472156171,0.80523301841411,0.0345679492837873
Amazon-Movies,MF,IPS,21,20,54774,21342,0.2297257823054733,0.9808811643904508,0.8032821353808394,0.034711696379709
Amazon-Movies,MF,IPS,22,20,54774,21342,0.2256545076131011,0.9814880828396896,0.8056355470911262,0.0320829356297361
Amazon-Movies,MF,PDA,20,20,54774,21342,0.0180194983021141,0.9993109626529646,0.7588448204205008,0.064786990195826
Amazon-Movies,MF,PDA,21,20,54774,21342,0.015518311607697,0.999434181419281,0.7511537121335712,0.0650977686877847
Amazon-Movies,MF,PDA,22,20,54774,21342,0.0174900500237338,0.9993020177266208,0.7572500077539938,0.0659861323476857
Amazon-Movies,MF,STFR,20,20,54774,21342,0.1928287143535254,0.97952100256045,0.718209341826492,0.0839480989554081
Amazon-Movies,MF,STFR,21,20,54774,21342,0.1901267024500675,0.979759829228101,0.7190865700262767,0.0823769302767993
Amazon-Movies,MF,STFR,22,20,54774,21342,0.1896155110088728,0.9795537801786536,0.7153462504607594,0.0848417654836498
Amazon-Movies,MF,TIDE,20,20,54774,21342,0.2373936539233943,0.9751158253546198,0.7278520513562395,0.0739876040290789
Amazon-Movies,MF,TIDE,21,20,54774,21342,0.2617117610545149,0.9722890536065872,0.7286427090884097,0.07425109374145
Amazon-Movies,MF,TIDE,22,20,54774,21342,0.2836017088399605,0.9652278622829302,0.719717145122324,0.0741054641927051
Amazon-Movies,MF,base,20,20,54774,21342,0.249844816883923,0.9757963017830996,0.785394723071514,0.0367023568196643
Amazon-Movies,MF,base,21,20,54774,21342,0.251962609997444,0.976895174329048,0.7934006196192386,0.0361502288174104
Amazon-Movies,MF,base,22,20,54774,21342,0.2486763793040493,0.9767558340791672,0.7884186292953352,0.0340080168208211
Amazon-Movies,SimGCL,CausalEPP,20,20,54774,21342,0.1055792894438967,0.9838761771446934,0.7695915659136888,0.057478851602385
Amazon-Movies,SimGCL,CausalEPP,21,20,54774,21342,0.1058531420016796,0.9838320366085804,0.7698506927213096,0.0571392203755484
Amazon-Movies,SimGCL,CausalEPP,22,20,54774,21342,0.1039909446087559,0.9841826396541028,0.770701315672452,0.0586178120701165
Amazon-Movies,SimGCL,DDC,20,20,54774,21342,0.1089385474860335,0.9872456808978533,0.8005016983257912,0.0508467823471775
Amazon-Movies,SimGCL,DDC,21,20,54774,21342,0.1086646949282506,0.9872014753481696,0.8002584720643857,0.0505943700610869
Amazon-Movies,SimGCL,DDC,22,20,54774,21342,0.1088472633001058,0.9872553343865738,0.800941763613259,0.0518474684972657
Amazon-Movies,SimGCL,DICE,20,20,54774,21342,0.1509840435242998,0.9655488736318464,0.6714909193522938,0.0472543093232976
Amazon-Movies,SimGCL,DICE,21,20,54774,21342,0.1528279840800379,0.96488895090157,0.6726431594857111,0.046962640442641
Amazon-Movies,SimGCL,DICE,22,20,54774,21342,0.1516960601745353,0.9652254932226312,0.6720167176855206,0.0468201714436598
Amazon-Movies,SimGCL,IPS,20,20,54774,21342,0.1817468141819111,0.9757639145884968,0.7566389897624852,0.0535234102055279
Amazon-Movies,SimGCL,IPS,21,20,54774,21342,0.1793369116734217,0.9757341414527017,0.7588733858825081,0.0515461793827151
