dataset,block_index,block_start_date,block_end_date,n_interactions,n_rows_prefilter,role
Amazon-VG,0,1999-10-14,1999-12-12,57,57,train
Amazon-VG,1,1999-12-13,2000-02-10,98,98,train
Amazon-VG,2,2000-02-11,2000-04-10,101,101,train
Amazon-VG,3,2000-04-11,2000-06-09,183,183,train
Amazon-VG,4,2000-06-10,2000-08-08,285,285,train
Amazon-VG,5,2000-08-09,2000-10-07,345,345,train
Amazon-VG,6,2000-10-08,2000-12-06,564,564,train
Amazon-VG,7,2000-12-07,2001-02-04,688,688,train
Amazon-VG,8,2001-02-05,2001-04-05,604,604,train
Amazon-VG,9,2001-04-06,2001-06-04,641,641,train
Amazon-VG,10,2001-06-05,2001-08-03,932,932,train
Amazon-VG,11,2001-08-04,2001-10-02,702,702,train
Amazon-VG,12,2001-10-03,2001-12-01,1145,1145,train
Amazon-VG,13,2001-12-02,2002-01-30,1286,1286,train
Amazon-VG,14,2002-01-31,2002-03-31,1199,1199,train
Amazon-VG,15,2002-04-01,2002-05-30,1032,1032,train
Amazon-VG,16,2002-05-31,2002-07-29,1257,1257,train
Amazon-VG,17,2002-07-30,2002-09-27,1110,1110,train
Amazon-VG,18,2002-09-28,2002-11-26,1355,1355,train
Amazon-VG,19,2002-11-27,2003-01-25,1322,1322,train
Amazon-VG,20,2003-01-26,2003-03-26,1097,1097,train
Amazon-VG,21,2003-03-27,2003-05-25,1180,1180,train
Amazon-VG,22,2003-05-26,2003-07-24,1152,1152,train
Amazon-VG,23,2003-07-25,2003-09-22,869,869,train
Amazon-VG,24,2003-09-23,2003-11-21,1091,1091,train
Amazon-VG,25,2003-11-22,2004-01-20,1635,1635,train
Amazon-VG,26,2004-01-21,2004-03-20,1051,1051,train
Amazon-VG,27,2004-03-21,2004-05-19,1089,1089,train
Amazon-VG,28,2004-05-20,2004-07-18,1088,1088,train
Amazon-VG,29,2004-07-19,2004-09-16,1021,1021,train
Amazon-VG,30,2004-09-17,2004-11-15,1273,1273,train
Amazon-VG,31,2004-11-16,2005-01-14,1494,1494,train
Amazon-VG,32,2005-01-15,2005-03-15,1034,1034,train
Amazon-VG,33,2005-03-16,2005-05-14,1281,1281,train
Amazon-VG,34,2005-05-15,2005-07-13,1183,1183,train
Amazon-VG,35,2005-07-14,2005-09-11,1120,1120,train
Amazon-VG,36,2005-09-12,2005-11-10,1346,1346,train
Amazon-VG,37,2005-11-11,2006-01-09,1663,1663,train
Amazon-VG,38,2006-01-10,2006-03-10,1094,1094,train
Amazon-VG,39,2006-03-11,2006-05-09,1210,1210,train
Amazon-VG,40,2006-05-10,2006-07-08,1083,1083,train
Amazon-VG,41,2006-07-09,2006-09-06,915,915,train
Amazon-VG,42,2006-09-07,2006-11-05,1035,1035,train
Amazon-VG,43,2006-11-06,2007-01-04,1582,1582,train
Amazon-VG,44,2007-01-05,2007-03-05,1624,1624,train
Amazon-VG,45,2007-03-06,2007-05-04,1500,1500,train
Amazon-VG,46,2007-05-05,2007-07-03,1444,1444,train
Amazon-VG,47,2007-07-04,2007-09-01,1560,1560,train
Amazon-VG,48,2007-09-02,2007-10-31,1671,1671,train
Amazon-VG,49,2007-11-01,2007-12-30,2290,2290,train
Amazon-VG,50,2007-12-31,2008-02-28,2193,2193,train
Amazon-VG,51,2008-02-29,2008-04-28,2049,2049,train
Amazon-VG,52,2008-04-29,2008-06-27,2507,2507,train
Amazon-VG,53,2008-06-28,2008-08-26,2040,2040,train
Amazon-VG,54,2008-08-27,2008-10-25,2631,2631,train
Amazon-VG,55,2008-10-26,2008-12-24,3073,3073,train
Amazon-VG,56,2008-12-25,2009-02-22,3132,3132,train
Amazon-VG,57,2009-02-23,2009-04-23,2738,2738,train
Amazon-VG,58,2009-04-24,2009-06-22,2500,2500,train
Amazon-VG,59,2009-06-23,2009-08-21,2422,2422,train
Amazon-VG,60,2009-08-22,2009-10-20,2552,2552,train
Amazon-VG,61,2009-10-21,2009-12-19,2902,2902,train
Amazon-VG,62,2009-12-20,2010-02-17,3535,3535,train
Amazon-VG,63,2010-02-18,2010-04-18,2716,2716,train
Amazon-VG,64,2010-04-19,2010-06-17,2238,2238,train
Amazon-VG,65,2010-06-18,2010-08-16,2117,2117,train
Amazon-VG,66,2010-08-17,2010-10-15,2412,2412,train
Amazon-VG,67,2010-10-16,2010-12-14,2794,2794,train
Amazon-VG,68,2010-12-15,2011-02-12,2801,2801,train
Amazon-VG,69,2011-02-13,2011-04-13,2765,2765,train
Amazon-VG,70,2011-04-14,2011-06-12,2586,2586,train
Amazon-VG,71,2011-06-13,2011-08-11,2602,2602,train
Amazon-VG,72,2011-08-12,2011-10-10,2704,2704,train
Amazon-VG,73,2011-10-11,2011-12-09,3534,3534,train
Amazon-VG,74,2011-12-10,2012-02-07,3745,3745,train
Amazon-VG,75,2012-02-08,2012-04-07,3890,3890,train
Amazon-VG,76,2012-04-08,2012-06-06,3132,3132,train
Amazon-VG,77,2012-06-07,2012-08-05,2856,2856,train
Amazon-VG,78,2012-08-06,2012-10-04,2776,2776,train
Amazon-VG,79,2012-10-05,2012-12-03,4638,4638,train
Amazon-VG,80,2012-12-04,2013-02-01,10152,10152,train
Amazon-VG,81,2013-02-02,2013-04-02,8620,8620,train
Amazon-VG,82,2013-04-03,2013-06-01,6546,6546,train
Amazon-VG,83,2013-06-02,2013-07-31,5796,5796,train
Amazon-VG,84,2013-08-01,2013-09-29,6038,6038,train
Amazon-VG,85,2013-09-30,2013-11-28,7448,7448,train
Amazon-VG,86,2013-11-29,2014-01-27,10617,10617,train
Amazon-VG,87,2014-01-28,2014-03-28,9606,9606,train
Amazon-VG,88,2014-03-29,2014-05-27,7120,7120,train
Amazon-VG,89,2014-05-28,2014-07-26,9663,9663,train
Amazon-VG,90,2014-07-27,2014-09-24,13991,13991,train
Amazon-VG,91,2014-09-25,2014-11-23,14211,14211,train
Amazon-VG,92,2014-11-24,2014-12-23,4532,8383,val
Amazon-VG,92,2014-12-24,2015-01-22,5195,10647,test
Amazon-VG,93,2015-01-23,2015-03-23,17897,17897,after_eval
Amazon-VG,94,2015-03-24,2015-05-22,13857,13857,after_eval
Amazon-VG,95,2015-05-23,2015-07-21,12812,12812,after_eval
Amazon-VG,96,2015-07-22,2015-09-19,12665,12665,after_eval
Amazon-VG,97,2015-09-20,2015-11-18,13839,13839,after_eval
Amazon-VG,98,2015-11-19,2016-01-17,14609,14609,after_eval
Amazon-VG,99,2016-01-18,2016-03-17,15743,15743,after_eval
Amazon-VG,100,2016-03-18,2016-05-16,12544,12544,after_eval
Amazon-VG,101,2016-05-17,2016-07-15,11376,11376,after_eval
Amazon-VG,102,2016-07-16,2016-09-13,10833,10833,after_eval
Amazon-VG,103,2016-09-14,2016-11-12,10244,10244,after_eval
Amazon-VG,104,2016-11-13,2017-01-11,11800,11800,after_eval
Amazon-VG,105,2017-01-12,2017-03-12,9849,9849,after_eval
Amazon-VG,106,2017-03-13,2017-05-11,7708,7708,after_eval
Amazon-VG,107,2017-05-12,2017-07-10,5381,5381,after_eval
Amazon-VG,108,2017-07-11,2017-09-08,5306,5306,after_eval
Amazon-VG,109,2017-09-09,2017-11-07,4176,4176,after_eval
Amazon-VG,110,2017-11-08,2018-01-06,4033,4033,after_eval
Amazon-VG,111,2018-01-07,2018-03-07,4046,4046,after_eval
Amazon-VG,112,2018-03-08,2018-05-06,3775,3775,after_eval
Amazon-VG,113,2018-05-07,2018-07-05,2258,2258,after_eval
Amazon-VG,114,2018-07-06,2018-09-03,954,954,after_eval
Amazon-VG,115,2018-09-04,2018-11-02,153,153,after_eval
Amazon-Movies,0,1997-12-02,1998-01-30,4,4,train
Amazon-Movies,1,1998-01-31,1998-03-31,6,6,train
Amazon-Movies,2,1998-04-01,1998-05-30,16,16,train
Amazon-Movies,3,1998-05-31,1998-07-29,16,16,train
Amazon-Movies,4,1998-07-30,1998-09-27,21,21,train
Amazon-Movies,5,1998-09-28,1998-11-26,51,51,train
Amazon-Movies,6,1998-11-27,1999-01-25,190,190,train
Amazon-Movies,7,1999-01-26,1999-03-26,231,231,train
Amazon-Movies,8,1999-03-27,1999-05-25,407,407,train
Amazon-Movies,9,1999-05-26,1999-07-24,426,426,train
Amazon-Movies,10,1999-07-25,1999-09-22,431,431,train
Amazon-Movies,11,1999-09-23,1999-11-21,617,617,train
Amazon-Movies,12,1999-11-22,2000-01-20,2081,2081,train
Amazon-Movies,13,2000-01-21,2000-03-20,2520,2520,train
Amazon-Movies,14,2000-03-21,2000-05-19,3450,3450,train
Amazon-Movies,15,2000-05-20,2000-07-18,4136,4136,train
Amazon-Movies,16,2000-07-19,2000-09-16,3380,3380,train
Amazon-Movies,17,2000-09-17,2000-11-15,3004,3004,train
Amazon-Movies,18,2000-11-16,2001-01-14,3139,3139,train
Amazon-Movies,19,2001-01-15,2001-03-15,3376,3376,train
Amazon-Movies,20,2001-03-16,2001-05-14,3464,3464,train
Amazon-Movies,21,2001-05-15,2001-07-13,4571,4571,train
Amazon-Movies,22,2001-07-14,2001-09-11,4754,4754,train
Amazon-Movies,23,2001-09-12,2001-11-10,4333,4333,train
Amazon-Movies,24,2001-11-11,2002-01-09,4559,4559,train
Amazon-Movies,25,2002-01-10,2002-03-10,4716,4716,train
Amazon-Movies,26,2002-03-11,2002-05-09,4999,4999,train
Amazon-Movies,27,2002-05-10,2002-07-08,5053,5053,train
Amazon-Movies,28,2002-07-09,2002-09-06,5466,5466,train
Amazon-Movies,29,2002-09-07,2002-11-05,4642,4642,train
Amazon-Movies,30,2002-11-06,2003-01-04,4772,4772,train
Amazon-Movies,31,2003-01-05,2003-03-05,5226,5226,train
Amazon-Movies,32,2003-03-06,2003-05-04,4885,4885,train
Amazon-Movies,33,2003-05-05,2003-07-03,4849,4849,train
Amazon-Movies,34,2003-07-04,2003-09-01,5322,5322,train
