L_days,backbone,method,k,n,recall,recall_sd,ndcg,nalrp,f,alpha,simgcl_lambda,recall_gain_pct,nalrp_diff
15,LightGCN,STFR,20,3,0.1550133333333333,0.0032083259740175,0.0800933333333333,0.58869,0.7,0.75,,105.7061971955589,-0.1851533333333332
15,LightGCN,base,20,3,0.0753566666666666,0.0031144216513218,0.0326366666666666,0.7738433333333333,,,,,
15,MF,STFR,20,3,0.1304933333333333,0.0024466893731916,0.0675166666666666,0.5501566666666666,0.7,1.0,,89.28536891983366,-0.1567366666666667
15,MF,base,20,3,0.06894,0.0045747422513915,0.0311166666666666,0.7068933333333334,,,,,
15,SimGCL,STFR,20,3,0.1337666666666666,0.0063013455353246,0.0698733333333333,0.6313533333333333,0.7,1.0,0.05,42.18899479148215,-0.1037566666666667
15,SimGCL,base,20,3,0.0940766666666666,0.0047028100346731,0.0417366666666666,0.73511,,,0.05,,
30,LightGCN,STFR,20,3,0.1329233333333333,0.0024016151972278,0.06386,0.5891433333333334,0.7,1.0,,67.57858463607329,-0.1869566666666666
30,LightGCN,base,20,3,0.07932,0.0014903243494845,0.0355833333333333,0.7761,,,,,
30,MF,STFR,20,3,0.1108133333333333,0.0041820356553026,0.0521466666666666,0.54549,0.7,1.0,,72.33799896319333,-0.1415066666666665
30,MF,base,20,3,0.0643,0.0014226969693742,0.0298699999999999,0.6869966666666666,,,,,
30,SimGCL,STFR,20,3,0.1176633333333333,0.0051835980639792,0.0570266666666666,0.6375500000000001,0.9,1.0,0.1,21.95197788910004,-0.0861766666666666
30,SimGCL,base,20,3,0.0964833333333333,0.000669543791614,0.0433,0.7237266666666667,,,0.1,,
60,LightGCN,STFR,20,3,0.1216399999999999,0.0037491954692529,0.062,0.6191399999999999,0.7,1.0,,78.47989826860999,-0.1530766666666667
60,LightGCN,base,20,3,0.0681533333333333,0.0003108411527166,0.0310533333333333,0.7722166666666667,,,,,
60,MF,STFR,20,3,0.1102366666666666,0.0026617078894741,0.0537666666666666,0.5949133333333333,0.7,0.75,,107.86297925832808,-0.1058766666666667
60,MF,base,20,3,0.0530333333333333,0.0030172209435542,0.0256099999999999,0.70079,,,,,
60,SimGCL,STFR,20,3,0.1133733333333333,0.0013349739905914,0.0538633333333333,0.6911133333333334,0.7,0.75,0.1,51.55511986453967,-0.0299466666666666
60,SimGCL,base,20,3,0.0748066666666666,0.0014538760454576,0.03611,0.72106,,,0.1,,
120,LightGCN,STFR,20,3,0.0957233333333333,0.0014390351705994,0.0455599999999999,0.62535,0.7,1.0,,56.87206380421721,-0.1463366666666666
120,LightGCN,base,20,3,0.06102,0.0006496665811527,0.0290233333333333,0.7716866666666666,,,,,
120,MF,STFR,20,3,0.0734733333333333,0.002948008744145,0.0338433333333333,0.6547866666666667,0.5,1.0,,43.63352013554022,-0.0512466666666666
120,MF,base,20,3,0.0511533333333333,0.0037824888925444,0.0251266666666666,0.7060333333333334,,,,,
120,SimGCL,STFR,20,3,0.0863566666666666,0.0024418890683694,0.0411566666666666,0.6333866666666667,0.9,1.0,0.05,29.179755671902274,-0.0988766666666667
120,SimGCL,base,20,3,0.06685,0.0008102263058347,0.0320233333333333,0.7322633333333334,,,0.05,,
