L_days,backbone,method,seed,recall20,ndcg20,nalrp20,f,alpha,simgcl_lambda,log
15,LightGCN,STFR,20,0.15635,0.08179,0.59138,0.7,0.75,,log/runs/v3nob_final_Amazon-VG_b15_LightGCN_SFDmmNoB_f0.7a0.75_s20_test_k20.log
15,LightGCN,STFR,21,0.15059,0.07733,0.62703,0.7,0.75,,log/runs/v3nob_final_Amazon-VG_b15_LightGCN_SFDmmNoB_f0.7a0.75_s21_test_k20.log
15,LightGCN,STFR,22,0.1581,0.08116,0.54766,0.7,0.75,,log/runs/v3nob_final_Amazon-VG_b15_LightGCN_SFDmmNoB_f0.7a0.75_s22_test_k20.log
15,LightGCN,base,20,0.07134,0.03116,0.77494,,,,log/runs/v3_Amazon-VG_b15_LightGCN_base_s20_test_k20.log
15,LightGCN,base,21,0.07893,0.03376,0.77239,,,,log/runs/v3_Amazon-VG_b15_LightGCN_base_s21_test_k20.log
15,LightGCN,base,22,0.0758,0.03299,0.7742,,,,log/runs/v3_Amazon-VG_b15_LightGCN_base_s22_test_k20.log
15,MF,STFR,20,0.12705,0.06851,0.54702,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b15_MF_SFDmmNoB_f0.7a1.0_s20_test_k20.log
15,MF,STFR,21,0.13192,0.06869,0.56888,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b15_MF_SFDmmNoB_f0.7a1.0_s21_test_k20.log
15,MF,STFR,22,0.13251,0.06535,0.53457,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b15_MF_SFDmmNoB_f0.7a1.0_s22_test_k20.log
15,MF,base,20,0.06372,0.02772,0.69122,,,,log/runs/v3_Amazon-VG_b15_MF_base_s20_test_k20.log
15,MF,base,21,0.07486,0.03306,0.73133,,,,log/runs/v3_Amazon-VG_b15_MF_base_s21_test_k20.log
15,MF,base,22,0.06824,0.03257,0.69813,,,,log/runs/v3_Amazon-VG_b15_MF_base_s22_test_k20.log
15,SimGCL,STFR,20,0.13116,0.06988,0.63979,0.7,1.0,0.05,log/runs/v3nob_final_Amazon-VG_b15_SimGCL_SFDmmNoB_f0.7a1.0_s20_test_k20.log
15,SimGCL,STFR,21,0.12769,0.06874,0.63974,0.7,1.0,0.05,log/runs/v3nob_final_Amazon-VG_b15_SimGCL_SFDmmNoB_f0.7a1.0_s21_test_k20.log
15,SimGCL,STFR,22,0.14245,0.071,0.61453,0.7,1.0,0.05,log/runs/v3nob_final_Amazon-VG_b15_SimGCL_SFDmmNoB_f0.7a1.0_s22_test_k20.log
15,SimGCL,base,20,0.09777,0.04325,0.72996,,,0.05,log/runs/v3_Amazon-VG_b15_SimGCL_base_s20_test_k20.log
15,SimGCL,base,21,0.09702,0.04249,0.73768,,,0.05,log/runs/v3_Amazon-VG_b15_SimGCL_base_s21_test_k20.log
15,SimGCL,base,22,0.08744,0.03947,0.73769,,,0.05,log/runs/v3_Amazon-VG_b15_SimGCL_base_s22_test_k20.log
30,LightGCN,STFR,20,0.1301,0.06294,0.55912,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b30_LightGCN_SFDmmNoB_f0.7a1.0_s20_test_k20.log
30,LightGCN,STFR,21,0.1327,0.06485,0.64907,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b30_LightGCN_SFDmmNoB_f0.7a1.0_s21_test_k20.log
30,LightGCN,STFR,22,0.13597,0.06379,0.55924,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b30_LightGCN_SFDmmNoB_f0.7a1.0_s22_test_k20.log
30,LightGCN,base,20,0.07758,0.03455,0.77641,,,,log/runs/v3_Amazon-VG_b30_LightGCN_base_s20_test_k20.log
30,LightGCN,base,21,0.07916,0.03621,0.77585,,,,log/runs/v3_Amazon-VG_b30_LightGCN_base_s21_test_k20.log
30,LightGCN,base,22,0.08122,0.03599,0.77604,,,,log/runs/v3_Amazon-VG_b30_LightGCN_base_s22_test_k20.log
30,MF,STFR,20,0.10812,0.05047,0.53514,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b30_MF_SFDmmNoB_f0.7a1.0_s20_test_k20.log
30,MF,STFR,21,0.1076,0.05235,0.53744,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b30_MF_SFDmmNoB_f0.7a1.0_s21_test_k20.log
30,MF,STFR,22,0.11672,0.05362,0.56389,0.7,1.0,,log/runs/v3nob_final_Amazon-VG_b30_MF_SFDmmNoB_f0.7a1.0_s22_test_k20.log
30,MF,base,20,0.06245,0.02972,0.70402,,,,log/runs/v3_Amazon-VG_b30_MF_base_s20_test_k20.log
30,MF,base,21,0.06591,0.03082,0.68118,,,,log/runs/v3_Amazon-VG_b30_MF_base_s21_test_k20.log
30,MF,base,22,0.06454,0.02907,0.67579,,,,log/runs/v3_Amazon-VG_b30_MF_base_s22_test_k20.log
30,SimGCL,STFR,20,0.12221,0.05659,0.63099,0.9,1.0,0.1,log/runs/v3nob_final_Amazon-VG_b30_SimGCL_SFDmmNoB_f0.9a1.0_s20_test_k20.log
30,SimGCL,STFR,21,0.12037,0.05986,0.65257,0.9,1.0,0.1,log/runs/v3nob_final_Amazon-VG_b30_SimGCL_SFDmmNoB_f0.9a1.0_s21_test_k20.log
30,SimGCL,STFR,22,0.11041,0.05463,0.62909,0.9,1.0,0.1,log/runs/v3nob_final_Amazon-VG_b30_SimGCL_SFDmmNoB_f0.9a1.0_s22_test_k20.log
30,SimGCL,base,20,0.09566,0.04343,0.72274,,,0.1,log/runs/v3_Amazon-VG_b30_SimGCL_base_s20_test_k20.log
30,SimGCL,base,21,0.09649,0.04365,0.72674,,,0.1,log/runs/v3_Amazon-VG_b30_SimGCL_base_s21_test_k20.log
