dataset,backbone,method,seed,nalrp20,log
Amazon-Movies,LightGCN,CausalEPP,20,0.83379,log/runs/v3_Amazon-Movies_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s20_test_k20_train.log
Amazon-Movies,LightGCN,CausalEPP,21,0.83454,log/runs/v3_Amazon-Movies_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s21_test_k20_train.log
Amazon-Movies,LightGCN,CausalEPP,22,0.83496,log/runs/v3_Amazon-Movies_LightGCN_final_CausalEPP_CEPP_sm256a0.25_s22_test_k20_train.log
Amazon-Movies,LightGCN,DDC,20,0.8153,log/runs/v3_Amazon-Movies_LightGCN_final_DDC_DDC_k0.7_s20_test_k20_train.log
Amazon-Movies,LightGCN,DDC,21,0.84743,log/runs/v3_Amazon-Movies_LightGCN_final_DDC_DDC_k0.7_s21_test_k20_train.log
Amazon-Movies,LightGCN,DDC,22,0.81686,log/runs/v3_Amazon-Movies_LightGCN_final_DDC_DDC_k0.7_s22_test_k20_train.log
Amazon-Movies,LightGCN,DICE,20,0.66482,log/runs/v3_Amazon-Movies_LightGCN_final_DICE_DICE_a0.1_s20_test_k20_train.log
Amazon-Movies,LightGCN,DICE,21,0.66745,log/runs/v3_Amazon-Movies_LightGCN_final_DICE_DICE_a0.1_s21_test_k20_train.log
Amazon-Movies,LightGCN,DICE,22,0.66287,log/runs/v3_Amazon-Movies_LightGCN_final_DICE_DICE_a0.1_s22_test_k20_train.log
Amazon-Movies,LightGCN,IPS,20,0.79947,log/runs/v3_Amazon-Movies_LightGCN_final_IPS_IPS_l50_s20_test_k20_train.log
Amazon-Movies,LightGCN,IPS,21,0.79894,log/runs/v3_Amazon-Movies_LightGCN_final_IPS_IPS_l50_s21_test_k20_train.log
Amazon-Movies,LightGCN,IPS,22,0.79996,log/runs/v3_Amazon-Movies_LightGCN_final_IPS_IPS_l50_s22_test_k20_train.log
Amazon-Movies,LightGCN,PDA,20,0.8812,log/runs/v3_Amazon-Movies_LightGCN_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-Movies,LightGCN,PDA,21,0.88023,log/runs/v3_Amazon-Movies_LightGCN_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-Movies,LightGCN,PDA,22,0.88005,log/runs/v3_Amazon-Movies_LightGCN_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-Movies,LightGCN,STFR,20,0.74561,log/runs/v3nob_final_Amazon-Movies_LightGCN_SFDmmNoB_f0.3a0.5_s20_test_k20.log
Amazon-Movies,LightGCN,STFR,21,0.74496,log/runs/v3nob_final_Amazon-Movies_LightGCN_SFDmmNoB_f0.3a0.5_s21_test_k20.log
Amazon-Movies,LightGCN,STFR,22,0.75119,log/runs/v3nob_final_Amazon-Movies_LightGCN_SFDmmNoB_f0.3a0.5_s22_test_k20.log
Amazon-Movies,LightGCN,TIDE,20,0.80116,log/runs/v3_Amazon-Movies_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s20_test_k20_train.log
Amazon-Movies,LightGCN,TIDE,21,0.78184,log/runs/v3_Amazon-Movies_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s21_test_k20_train.log
Amazon-Movies,LightGCN,TIDE,22,0.77999,log/runs/v3_Amazon-Movies_LightGCN_final_TIDE_TIDE_q-1b-5_tau3000000_s22_test_k20_train.log
Amazon-Movies,LightGCN,base,20,0.81985,log/runs/v3_Amazon-Movies_LightGCN_base_s20_test_k20_train.log
Amazon-Movies,LightGCN,base,21,0.82316,log/runs/v3_Amazon-Movies_LightGCN_base_s21_test_k20_train.log
Amazon-Movies,LightGCN,base,22,0.82342,log/runs/v3_Amazon-Movies_LightGCN_base_s22_test_k20_train.log
Amazon-Movies,MF,CausalEPP,20,0.67955,log/runs/v3_Amazon-Movies_MF_final_CausalEPP_CEPP_sm1024a0.25_s20_test_k20_train.log
Amazon-Movies,MF,CausalEPP,21,0.68467,log/runs/v3_Amazon-Movies_MF_final_CausalEPP_CEPP_sm1024a0.25_s21_test_k20_train.log
Amazon-Movies,MF,CausalEPP,22,0.67999,log/runs/v3_Amazon-Movies_MF_final_CausalEPP_CEPP_sm1024a0.25_s22_test_k20_train.log
Amazon-Movies,MF,DDC,20,0.75779,log/runs/v3_Amazon-Movies_MF_final_DDC_DDC_k0.7_s20_test_k20_train.log
Amazon-Movies,MF,DDC,21,0.75219,log/runs/v3_Amazon-Movies_MF_final_DDC_DDC_k0.7_s21_test_k20_train.log
Amazon-Movies,MF,DDC,22,0.7483,log/runs/v3_Amazon-Movies_MF_final_DDC_DDC_k0.7_s22_test_k20_train.log
Amazon-Movies,MF,DICE,20,0.65674,log/runs/v3_Amazon-Movies_MF_final_DICE_DICE_a0.2_s20_test_k20_train.log
Amazon-Movies,MF,DICE,21,0.65721,log/runs/v3_Amazon-Movies_MF_final_DICE_DICE_a0.2_s21_test_k20_train.log
Amazon-Movies,MF,DICE,22,0.65126,log/runs/v3_Amazon-Movies_MF_final_DICE_DICE_a0.2_s22_test_k20_train.log
Amazon-Movies,MF,IPS,20,0.80523,log/runs/v3_Amazon-Movies_MF_final_IPS_IPS_l30_s20_test_k20_train.log
Amazon-Movies,MF,IPS,21,0.80328,log/runs/v3_Amazon-Movies_MF_final_IPS_IPS_l30_s21_test_k20_train.log
Amazon-Movies,MF,IPS,22,0.80564,log/runs/v3_Amazon-Movies_MF_final_IPS_IPS_l30_s22_test_k20_train.log
Amazon-Movies,MF,PDA,20,0.75884,log/runs/v3_Amazon-Movies_MF_final_PDA_g0.25a0.2_s20_test_k20_train.log
Amazon-Movies,MF,PDA,21,0.75115,log/runs/v3_Amazon-Movies_MF_final_PDA_g0.25a0.2_s21_test_k20_train.log
Amazon-Movies,MF,PDA,22,0.75725,log/runs/v3_Amazon-Movies_MF_final_PDA_g0.25a0.2_s22_test_k20_train.log
Amazon-Movies,MF,STFR,20,0.71821,log/runs/v3nob_final_Amazon-Movies_MF_SFDmmNoB_f0.3a0.5_s20_test_k20.log
Amazon-Movies,MF,STFR,21,0.71909,log/runs/v3nob_final_Amazon-Movies_MF_SFDmmNoB_f0.3a0.5_s21_test_k20.log
Amazon-Movies,MF,STFR,22,0.71535,log/runs/v3nob_final_Amazon-Movies_MF_SFDmmNoB_f0.3a0.5_s22_test_k20.log
Amazon-Movies,MF,TIDE,20,0.72785,log/runs/v3_Amazon-Movies_MF_final_TIDE_TIDE_q-1b-5_tau3000000_s20_test_k20_train.log
Amazon-Movies,MF,TIDE,21,0.72864,log/runs/v3_Amazon-Movies_MF_final_TIDE_TIDE_q-1b-5_tau3000000_s21_test_k20_train.log
Amazon-Movies,MF,TIDE,22,0.71972,log/runs/v3_Amazon-Movies_MF_final_TIDE_TIDE_q-1b-5_tau3000000_s22_test_k20_train.log
Amazon-Movies,MF,base,20,0.78539,log/runs/v3_Amazon-Movies_MF_base_s20_test_k20_train.log
Amazon-Movies,MF,base,21,0.7934,log/runs/v3_Amazon-Movies_MF_base_s21_test_k20_train.log
Amazon-Movies,MF,base,22,0.78842,log/runs/v3_Amazon-Movies_MF_base_s22_test_k20_train.log
Amazon-Movies,SimGCL,CausalEPP,20,0.76959,log/runs/v3_Amazon-Movies_SimGCL_final_CausalEPP_CEPP_sm64a1.0_s20_test_k20_train.log
Amazon-Movies,SimGCL,CausalEPP,21,0.76985,log/runs/v3_Amazon-Movies_SimGCL_final_CausalEPP_CEPP_sm64a1.0_s21_test_k20_train.log
Amazon-Movies,SimGCL,CausalEPP,22,0.7707,log/runs/v3_Amazon-Movies_SimGCL_final_CausalEPP_CEPP_sm64a1.0_s22_test_k20_train.log
Amazon-Movies,SimGCL,DDC,20,0.8005,log/runs/v3_Amazon-Movies_SimGCL_final_DDC_DDC_k0.7_s20_test_k20_train.log
Amazon-Movies,SimGCL,DDC,21,0.80026,log/runs/v3_Amazon-Movies_SimGCL_final_DDC_DDC_k0.7_s21_test_k20_train.log
Amazon-Movies,SimGCL,DDC,22,0.80094,log/runs/v3_Amazon-Movies_SimGCL_final_DDC_DDC_k0.7_s22_test_k20_train.log
Amazon-Movies,SimGCL,DICE,20,0.67149,log/runs/v3_Amazon-Movies_SimGCL_final_DICE_DICE_a0.05_s20_test_k20_train.log
Amazon-Movies,SimGCL,DICE,21,0.67264,log/runs/v3_Amazon-Movies_SimGCL_final_DICE_DICE_a0.05_s21_test_k20_train.log
Amazon-Movies,SimGCL,DICE,22,0.67202,log/runs/v3_Amazon-Movies_SimGCL_final_DICE_DICE_a0.05_s22_test_k20_train.log
