dataset,backbone,method,n,cos_pop,nrm_ratio
Amazon-Movies,LightGCN,PDA,3,0.7825061590452033,4.193296455427395
Amazon-Movies,LightGCN,STFR,3,0.3227275843267274,3.038388297903173
Amazon-Movies,LightGCN,TIDE,3,0.7944362912999168,4.783496305861697
Amazon-Movies,LightGCN,base,3,0.5307491579254324,3.975134832530648
Amazon-Movies,MF,PDA,3,0.7582554316906721,1.7795952059035416
Amazon-Movies,MF,STFR,3,0.1111743736728999,1.0716446096609238
Amazon-Movies,MF,TIDE,3,0.5271651571305139,1.0635763258279038
Amazon-Movies,MF,base,3,0.4684752048666454,1.313667908491592
Amazon-Movies,SimGCL,PDA,3,0.1678836406235559,6.705604316610898
Amazon-Movies,SimGCL,STFR,3,0.0860334323791971,4.013953510138371
Amazon-Movies,SimGCL,TIDE,3,0.1518798647942941,5.993863681606363
Amazon-Movies,SimGCL,base,3,0.1398184764334438,5.640966165833507
Amazon-VG,LightGCN,PDA,3,0.5920130170162042,3.0253460087559447
Amazon-VG,LightGCN,STFR,3,0.0759613724760694,2.2759866663726807
Amazon-VG,LightGCN,TIDE,3,0.5788283287174574,3.4170774757977127
Amazon-VG,LightGCN,base,3,0.3482628042862066,2.9409210793021345
Amazon-VG,MF,PDA,3,0.3761526493920612,1.2766631292921964
Amazon-VG,MF,STFR,3,0.0559105230148221,1.125583964341219
Amazon-VG,MF,TIDE,3,0.3612053416956104,1.1553692016255528
Amazon-VG,MF,base,3,0.2649753454058806,1.4661250267170052
Amazon-VG,SimGCL,PDA,3,0.0884360766761266,3.855004979744445
Amazon-VG,SimGCL,STFR,3,0.088424322169447,3.0894813856408088
Amazon-VG,SimGCL,TIDE,3,0.0193866364606843,2.96469775448574
Amazon-VG,SimGCL,base,3,0.0956650545817968,3.658092332582767
Douban-movie,LightGCN,PDA,3,0.9999996735552148,11.268539727991069
Douban-movie,LightGCN,STFR,3,0.7421976827891141,5.106705955889964
Douban-movie,LightGCN,TIDE,3,0.999170861950856,14.91978844727784
Douban-movie,LightGCN,base,3,0.944206893164729,9.374148445181564
Douban-movie,MF,PDA,3,0.8237884836223723,0.9554757485178994
Douban-movie,MF,STFR,3,0.2413118655877892,0.93296525131265
Douban-movie,MF,TIDE,3,0.8265398933580957,1.0992873182398617
Douban-movie,MF,base,3,0.5727879223721698,0.7195436854457427
