dataset,backbone,method,seed,cos_pop,nrm_ratio
Amazon-Movies,LightGCN,PDA,20,0.7831224455312138,4.197175460827209
Amazon-Movies,LightGCN,PDA,21,0.7792169205874969,4.178521399135775
Amazon-Movies,LightGCN,PDA,22,0.785179111016899,4.204192506319199
Amazon-Movies,LightGCN,STFR,20,0.3217226147471588,3.044741288147377
Amazon-Movies,LightGCN,STFR,21,0.3249820560571889,3.063261567157028
Amazon-Movies,LightGCN,STFR,22,0.3214780821758344,3.007162038405115
Amazon-Movies,LightGCN,TIDE,20,0.8156845378521111,5.3355000423750045
Amazon-Movies,LightGCN,TIDE,21,0.784156088350515,4.485427927206721
Amazon-Movies,LightGCN,TIDE,22,0.7834682476971241,4.529560948003366
Amazon-Movies,LightGCN,base,20,0.5300736392330634,3.9910107697560537
Amazon-Movies,LightGCN,base,21,0.5327061298401394,3.9709073132411903
Amazon-Movies,LightGCN,base,22,0.5294677047030945,3.9634864145947
Amazon-Movies,MF,PDA,20,0.7461199874170787,1.8050744310734368
Amazon-Movies,MF,PDA,21,0.7899882249836268,1.7457743430736756
Amazon-Movies,MF,PDA,22,0.7386580826713105,1.7879368435635117
Amazon-Movies,MF,STFR,20,0.1146051374009399,1.0647512457781183
Amazon-Movies,MF,STFR,21,0.10930377029196,1.0761909859153256
Amazon-Movies,MF,STFR,22,0.1096142133258,1.0739915972893277
Amazon-Movies,MF,TIDE,20,0.529959958271627,1.0838376756138777
Amazon-Movies,MF,TIDE,21,0.539874047674853,1.0576924709285418
Amazon-Movies,MF,TIDE,22,0.5116614654450619,1.0491988309412923
Amazon-Movies,MF,base,20,0.4550347839905201,1.339604155171416
Amazon-Movies,MF,base,21,0.4844258265278736,1.2821524532915294
Amazon-Movies,MF,base,22,0.4659650040815426,1.3192471170118305
Amazon-Movies,SimGCL,PDA,20,0.1722343575958331,6.692199404386702
Amazon-Movies,SimGCL,PDA,21,0.164390035404092,6.707713794629725
Amazon-Movies,SimGCL,PDA,22,0.1670265288707428,6.716899750816263
Amazon-Movies,SimGCL,STFR,20,0.0871808710597512,4.005573378098915
Amazon-Movies,SimGCL,STFR,21,0.0855248844706415,3.972708625822556
Amazon-Movies,SimGCL,STFR,22,0.0853945416071986,4.063578526493643
Amazon-Movies,SimGCL,TIDE,20,0.1602499393394789,5.88883064409866
Amazon-Movies,SimGCL,TIDE,21,0.1461912437182688,6.06730962415471
Amazon-Movies,SimGCL,TIDE,22,0.1491984113251347,6.025450776565717
Amazon-Movies,SimGCL,base,20,0.1395702966640523,5.63291297315645
Amazon-Movies,SimGCL,base,21,0.1391417139161379,5.645494518858625
Amazon-Movies,SimGCL,base,22,0.1407434187201411,5.644491005485446
Amazon-VG,LightGCN,PDA,20,0.5962446687960007,3.0407010144645503
Amazon-VG,LightGCN,PDA,21,0.5901732914457603,3.039927941398737
Amazon-VG,LightGCN,PDA,22,0.5896210908068517,2.9954090704045475
Amazon-VG,LightGCN,STFR,20,0.0768954967008284,2.271111461023501
Amazon-VG,LightGCN,STFR,21,0.0758676935113948,2.2952829071929752
Amazon-VG,LightGCN,STFR,22,0.075120927215985,2.2615656309015657
Amazon-VG,LightGCN,TIDE,20,0.6097088033261563,3.3960562041578144
Amazon-VG,LightGCN,TIDE,21,0.5667944883938096,3.43000785282842
Amazon-VG,LightGCN,TIDE,22,0.5599816944324063,3.425168370406903
Amazon-VG,LightGCN,base,20,0.3495725327774014,2.934416151654693
Amazon-VG,LightGCN,base,21,0.3498767380656484,2.946420449533729
Amazon-VG,LightGCN,base,22,0.3453391420155698,2.941926636717983
Amazon-VG,MF,PDA,20,0.3846217533267562,1.3015269013640391
Amazon-VG,MF,PDA,21,0.3593068738935192,1.3177118758917872
Amazon-VG,MF,PDA,22,0.3845293209559082,1.210750610620763
Amazon-VG,MF,STFR,20,0.0597013716666952,1.1202652356847098
Amazon-VG,MF,STFR,21,0.0545871943292599,1.1461537682301055
Amazon-VG,MF,STFR,22,0.053443003048511,1.1103328891088424
Amazon-VG,MF,TIDE,20,0.3696001779393306,1.035145593154023
Amazon-VG,MF,TIDE,21,0.3433323689773274,1.23904137947029
Amazon-VG,MF,TIDE,22,0.3706834781701732,1.191920632252345
Amazon-VG,MF,base,20,0.2645450208754899,1.4149949089880582
Amazon-VG,MF,base,21,0.2776701673604134,1.700835400857071
Amazon-VG,MF,base,22,0.2527108479817384,1.2825447703058863
Amazon-VG,SimGCL,PDA,20,0.0874112498945227,3.862311855618656
Amazon-VG,SimGCL,PDA,21,0.0901891018641177,3.856641591045441
Amazon-VG,SimGCL,PDA,22,0.0877078782697395,3.8460614925692393
Amazon-VG,SimGCL,STFR,20,0.0871683229390463,3.070966818762799
Amazon-VG,SimGCL,STFR,21,0.0879648585199741,3.1132588940457726
Amazon-VG,SimGCL,STFR,22,0.0901397850493204,3.0842184441138545
Amazon-VG,SimGCL,TIDE,20,0.0232231407579261,2.777221965611782
Amazon-VG,SimGCL,TIDE,21,0.0187536017436416,2.9833719099455336
Amazon-VG,SimGCL,TIDE,22,0.0161831668804852,3.133499387899902
Amazon-VG,SimGCL,base,20,0.0947094965261974,3.663307815237125
Amazon-VG,SimGCL,base,21,0.0979254144934933,3.650127117264796
Amazon-VG,SimGCL,base,22,0.0943602527256996,3.6608420652463782
Douban-movie,LightGCN,PDA,20,0.9999994045558102,11.234368145045297
Douban-movie,LightGCN,PDA,21,0.9999997842570694,11.299966639182552
Douban-movie,LightGCN,PDA,22,0.9999998318527646,11.271284399745351
Douban-movie,LightGCN,STFR,20,0.7295314351748292,4.966754266380546
Douban-movie,LightGCN,STFR,21,0.7605844511886148,5.036993496681696
Douban-movie,LightGCN,STFR,22,0.7364771620038982,5.316370104607652
Douban-movie,LightGCN,TIDE,20,0.9995172343101092,14.92784767947369
Douban-movie,LightGCN,TIDE,21,0.9983596082251393,14.756104406180974
Douban-movie,LightGCN,TIDE,22,0.9996357433173196,15.07541325617886
Douban-movie,LightGCN,base,20,0.945242053917582,9.391586071983424
Douban-movie,LightGCN,base,21,0.94513317544984,9.386704467230764
Douban-movie,LightGCN,base,22,0.9422454501267652,9.344154796330503
Douban-movie,MF,PDA,20,0.8328732186143131,0.9753710721698576
Douban-movie,MF,PDA,21,0.8126494528266457,0.9341578489582618
Douban-movie,MF,PDA,22,0.8258427794261582,0.9568983244255784
Douban-movie,MF,STFR,20,0.2396503056255772,0.935685091251516
Douban-movie,MF,STFR,21,0.2387979040860114,0.933441175795706
Douban-movie,MF,STFR,22,0.2454873870517789,0.9297694868907282
Douban-movie,MF,TIDE,20,0.8347910876190119,1.1479923408726338
Douban-movie,MF,TIDE,21,0.8183008781701644,1.0472023632793674
Douban-movie,MF,TIDE,22,0.826527714285111,1.1026672505675834
Douban-movie,MF,base,20,0.5570445987396601,0.7033697503331932
Douban-movie,MF,base,21,0.5691515584585661,0.7155699215829202
Douban-movie,MF,base,22,0.5921676099182832,0.7396913844211147
